Analysis Time;Product Name;Product Code;Sample Type;Sample Number;Sample Comment;Instrument Name;Instrument Serial Number;Humedad;Standard Deviation Humedad;Min Humedad;Max Humedad;Global H Humedad;Neighbourhood H Humedad;t-statistics Humedad;Ref Humedad;Grasa;Standard Deviation Grasa;Min Grasa;Max Grasa;Global H Grasa;Neighbourhood H Grasa;t-statistics Grasa;Ref Grasa;Cenizas;Standard Deviation Cenizas;Min Cenizas;Max Cenizas;Global H Cenizas;Neighbourhood H Cenizas;Ref Cenizas;pH;Standard Deviation pH;Min pH;Max pH;Global H pH;Neighbourhood H pH;t-statistics pH;Ref pH;Cup id;Cup type
01/02/2022 20:38;CACAO (TORTA);CACAO_TORTA;Normal;225/22;;NIRS DS3 F;91889831;2.03;0.04;1.987;2.095;0.81;0.35;0.98;3.6;11.16;0.07;11.09;11.292;0.81;0.35;-0.55;11.46;;;;;;;;5.98;0.112;5.855;6.214;0.81;0.35;-1.27;5.57;82139;2501
02/02/2022 18:38;CACAO (TORTA);CACAO_TORTA;Normal;336/22;;NIRS DS3 F;91889831;1.52;0.036;1.449;1.562;1.02;0.28;-0.09;2.25;11.16;0.028;11.135;11.201;1.02;0.28;-0.55;;;;;;;;;5.61;0.135;5.486;5.827;1.02;0.28;-1.6;5.57;82139;2501
02/02/2022 18:39;CACAO (TORTA);CACAO_TORTA;Normal;337/22;;NIRS DS3 F;91889831;1.56;0.027;1.506;1.594;0.75;0.24;-0.02;2.47;11.34;0.033;11.275;11.374;0.75;0.24;-0.51;;;;;;;;;5.79;0.12;5.583;5.896;0.75;0.24;-1.44;5.57;82125;2501
02/02/2022 18:40;CACAO (TORTA);CACAO_TORTA;Normal;338/22;;NIRS DS3 F;91889831;1.61;0.037;1.554;1.674;0.89;0.19;0.08;2.28;11.5;0.052;11.433;11.592;0.89;0.19;-0.46;;;;;;;;;5.66;0.052;5.584;5.738;0.89;0.19;-1.57;5.55;82139;2501
02/02/2022 18:41;CACAO (TORTA);CACAO_TORTA;Normal;339/22;;NIRS DS3 F;91889831;1.63;0.036;1.583;1.669;0.71;0.25;0.14;3.36;10.74;0.065;10.611;10.808;0.71;0.25;-0.67;;;;;;;;;5.68;0.074;5.598;5.815;0.71;0.25;-1.54;5.49;82125;2501
02/02/2022 18:42;CACAO (TORTA);CACAO_TORTA;Normal;340/22;;NIRS DS3 F;91889831;1.54;0.035;1.459;1.564;0.78;0.18;-0.07;2.33;11.52;0.043;11.476;11.596;0.78;0.18;-0.46;;;;;;;;;5.63;0.168;5.42;5.826;0.78;0.18;-1.59;5.55;82139;2501
02/02/2022 18:43;CACAO (TORTA);CACAO_TORTA;Normal;341/22;;NIRS DS3 F;91889831;1.6;0.052;1.534;1.654;0.89;0.26;0.06;2.41;10.83;0.071;10.728;10.938;0.89;0.26;-0.65;;;;;;;;;5.51;0.051;5.422;5.565;0.89;0.26;-1.7;5.53;82125;2501
02/02/2022 18:44;CACAO (TORTA);CACAO_TORTA;Normal;342/22;;NIRS DS3 F;91889831;1.64;0.047;1.566;1.704;1.08;0.32;0.15;2.37;11.26;0.045;11.192;11.319;1.08;0.32;-0.53;;;;;;;;;5.47;0.121;5.368;5.72;1.08;0.32;-1.74;5.53;82139;2501
02/02/2022 18:45;CACAO (TORTA);CACAO_TORTA;Normal;343/22;;NIRS DS3 F;91889831;1.67;0.054;1.605;1.764;0.86;0.39;0.21;3.62;11.41;0.105;11.279;11.564;0.86;0.39;-0.49;;;;;;;;;6.24;0.163;6.018;6.418;0.86;0.39;-1.03;5.58;82125;2501
02/02/2022 18:47;CACAO (TORTA);CACAO_TORTA;Normal;344/22;;NIRS DS3 F;91889831;1.94;0.067;1.846;2.032;1.05;0.55;0.79;3.5;11.06;0.043;10.985;11.118;1.05;0.55;-0.58;;;;;;;;;5.97;0.139;5.728;6.141;1.05;0.55;-1.28;5.61;82139;2501
02/02/2022 18:48;CACAO (TORTA);CACAO_TORTA;Normal;345/22;;NIRS DS3 F;91889831;1.8;0.035;1.764;1.849;0.77;0.4;0.49;3.91;11.1;0.032;11.046;11.146;0.77;0.4;-0.57;;;;;;;;;5.98;0.098;5.85;6.116;0.77;0.4;-1.27;5.49;82125;2501
02/02/2022 18:49;CACAO (TORTA);CACAO_TORTA;Normal;346/22;;NIRS DS3 F;91889831;1.91;0.055;1.8;1.96;0.86;0.49;0.72;3.5;11.16;0.045;11.084;11.208;0.86;0.49;-0.55;;;;;;;;;6;0.078;5.936;6.159;0.86;0.49;-1.25;5.61;82139;2501
02/02/2022 18:50;CACAO (TORTA);CACAO_TORTA;Normal;347/22;;NIRS DS3 F;91889831;1.83;0.051;1.76;1.907;1.07;0.32;0.55;3.11;11.28;0.045;11.22;11.345;1.07;0.32;-0.52;;;;;;;;;6;0.098;5.831;6.164;1.07;0.32;-1.25;5.6;82125;2501
02/02/2022 18:51;CACAO (TORTA);CACAO_TORTA;Normal;348/22;;NIRS DS3 F;91889831;1.83;0.057;1.754;1.887;1.26;0.55;0.56;2.78;11.09;0.031;11.036;11.123;1.26;0.55;-0.57;;;;;;;;;6.01;0.15;5.81;6.231;1.26;0.55;-1.24;5.63;82139;2501
02/02/2022 18:52;CACAO (TORTA);CACAO_TORTA;Normal;349/22;;NIRS DS3 F;91889831;1.51;0.044;1.445;1.575;0.44;0.14;-0.12;2.94;10.89;0.05;10.81;10.965;0.44;0.14;-0.63;;;;;;;;;7.99;0.135;7.853;8.207;0.44;0.14;0.59;7.47;82125;2501
02/02/2022 18:53;CACAO (TORTA);CACAO_TORTA;Normal;350/22;;NIRS DS3 F;91889831;1.52;0.066;1.426;1.603;0.72;0.18;-0.1;3.45;10.4;0.058;10.321;10.488;0.72;0.18;-0.76;;;;;;;;;7.96;0.146;7.704;8.179;0.72;0.18;0.56;7.43;82139;2501
02/02/2022 18:54;CACAO (TORTA);CACAO_TORTA;Normal;351/22;;NIRS DS3 F;91889831;1.51;0.037;1.461;1.553;0.94;0.25;-0.13;2.3;11.27;0.072;11.194;11.373;0.94;0.25;-0.52;;;;;;;;;5.63;0.099;5.49;5.801;0.94;0.25;-1.59;5.55;82125;2501
02/02/2022 20:48;CACAO (TORTA);CACAO_TORTA;Normal;226/22;;NIRS DS3 F;91889831;1.93;0.077;1.782;2.012;0.88;0.45;0.78;3.65;11.13;0.036;11.105;11.205;0.88;0.45;-0.56;11.31;;;;;;;;5.92;0.122;5.785;6.177;0.88;0.45;-1.32;5.52;82125;2501
02/02/2022 20:49;CACAO (TORTA);CACAO_TORTA;Normal;227/22;;NIRS DS3 F;91889831;1.87;0.038;1.83;1.941;0.85;0.4;0.64;3.48;11.22;0.052;11.153;11.281;0.85;0.4;-0.54;11.41;;;;;;;;6.13;0.076;6.049;6.255;0.85;0.4;-1.13;5.6;82139;2501
02/02/2022 20:50;CACAO (TORTA);CACAO_TORTA;Normal;228/22;;NIRS DS3 F;91889831;1.9;0.036;1.852;1.952;0.81;0.43;0.7;3.38;11.05;0.077;10.946;11.157;0.81;0.43;-0.58;11.66;;;;;;;;5.96;0.086;5.822;6.087;0.81;0.43;-1.29;5.58;82125;2501
02/02/2022 20:51;CACAO (TORTA);CACAO_TORTA;Normal;229/22;;NIRS DS3 F;91889831;1.83;0.029;1.774;1.858;0.71;0.4;0.55;3.67;10;0.049;9.93;10.057;0.71;0.4;-0.87;10.71;;;;;;;;5.9;0.065;5.826;5.978;0.71;0.4;-1.34;5.38;82139;2501
